## ../AL123456.3H37Rv.fasta
## query=rep_unit.fasta
## ver=v1.3 | minimum error-free hits=1 | pred=True | seq=True | swift=off | filter=None| sorted=None
## RepUnit	CompleteHits	OneErrorHits	95PerCentHits	Signal01
M2_FL_01	1	1	1	1
M2_01	1	1	1	1
M2_02	1	1	1	1
M2_03	0	1	1	0
M2_FL_02	1	1	1	1
M2_FL_03	1	1	1	1
0424_FL_01	1	1	1	1
0424_01	2	2	2	1
0424_02	0	2	2	0
0424_FL_02	1	1	1	1
0424_FL_03	1	1	1	1
ETR-C_FL_01	1	1	1	1
ETR-C_01	3	3	3	1
ETR-C_02	1	1	1	1
ETR-C_FL_02R	1	1	1	1
ETR-C_FL_03R	1	1	1	1
M4_FL_01	1	1	1	1
M4_01	3	3	3	1
M4_02	0	3	3	0
M4_FL_02	1	1	1	1
M4_FL_03	1	1	1	1
M40_FL_01	1	1	1	1
M40_01	1	1	1	1
M40_FL_02	1	1	1	1
M40_FL_03	1	1	1	1
M10_FL_01	1	1	1	1
M10_01	2	2	6	1
M10_02	1	1	6	1
M10_FL_02	1	1	1	1
M10_FL_03	1	1	1	1
M16_FL_01	1	1	1	1
M16_01	2	2	2	1
M16_02	0	0	2	0
M16_03	0	2	2	0
M16_FL_02	1	1	1	1
M16_FL_03	1	1	1	1
1955_FL_01	1	1	1	1
1955_01	1	1	1	1
1955_02	1	1	1	1
1955_03	0	1	1	0
1955_04	0	1	1	0
1955_FL_02	1	1	1	1
1955_FL_03	1	1	1	1
1982_FL_01a	1	1	1	1
1982_FL_01b	0	1	4	0
1982_FL_01c	0	0	0	0
1982_FL_02	1	1	1	1
1982_01	3	3	4	1
1982_02	1	1	4	1
1982_03	0	0	3	0
1982_04	0	0	1	0
1982_05	1	1	1	1
1982_06	0	1	1	0
1982_07	0	3	4	0
1982_08	0	3	5	0
1982_09	0	1	1	0
1982_10	0	4	4	0
1982_11	0	0	1	0
1982_FL_03	1	1	1	1
1982_FL_04	1	1	1	1
M20_FL_01	1	1	1	1
M20_01	2	2	2	1
M20_FL_02	1	1	1	1
M20_FL_03	1	1	1	1
2074_FL_01	1	1	1	1
2074_01	2	3	3	1
2074_02	1	3	3	1
2074_03	1	1	1	1
2074_04	0	2	3	0
2074_05	0	1	1	0
2074_06	0	1	1	0
2074_FL_02	1	1	1	1
2074_FL_03	1	1	1	1
2163a_FL_01	1	1	1	1
2163a_01	1	1	1	1
2163a_02	1	1	1	1
2163a_03	0	1	1	0
2163a_04	0	0	2	0
2163a_05	0	0	1	0
2163a_06	0	0	0	0
2163a_07	0	0	0	0
2163a_08	0	0	0	0
2163a_09	1	1	1	1
2163a_10	0	1	1	0
2163a_11	0	0	2	0
2163a_12	0	1	1	0
2163a_FL_02	1	1	1	1
2163a_FL_03	1	1	1	1
2163b_FL_01	1	1	1	1
2163b_01	4	5	5	1
2163b_02	1	5	5	1
2163b_03	0	4	5	0
2163b_04	0	4	5	0
2163b_05	0	4	5	0
2163b_FL_02	1	1	1	1
2163b_FL_03	1	1	1	1
ETR-A_FL_01	1	1	1	1
ETR-A_01	3	3	3	1
ETR-A_02	0	3	3	0
ETR-A_03R	0	3	3	0
ETR-A_04	0	3	3	0
ETR-A_05	0	3	3	0
ETR-A_06	0	0	3	0
ETR-A_FL_02a	1	1	1	1
ETR-A_FL_02b	0	1	1	0
ETR-A_FL_02c	0	1	1	0
ETR-A_FL_03	1	1	1	1
2347_FL_01	1	1	1	1
2347_01	1	3	3	1
2347_02	2	3	3	1
2347_03	1	1	1	1
2347_04	0	1	3	0
2347_FL_02	1	1	1	1
2347_FL_03	1	1	1	1
2372_FL_01	1	1	1	1
2372_01	1	1	2	1
2372_02	1	1	2	1
2372_03	0	1	2	0
2372_FL_02	1	1	1	1
2372_FL_03	1	1	1	1
2401_FL_01	1	1	1	1
2401_01	1	1	1	1
2401_02	1	1	1	1
2401_03	0	1	1	0
2401_04	0	1	1	0
2401_05	0	1	1	0
2401_FL_02	1	1	1	1
2401_FL_03	1	1	1	1
ETR-B_FL_01	1	1	1	1
ETR-B_01	1	3	3	1
ETR-B_02	2	2	3	1
ETR-B_FL_02	1	1	1	1
ETR-B_FL_03	1	1	1	1
M23_FL_01	1	1	1	1
M23_01	2	6	10	1
M23_02	3	5	7	1
M23_03	1	3	10	1
M23_04	0	4	7	0
M23_FL_02	1	1	1	1
M23_FL_03	1	1	1	1
M24_FL_01	1	1	1	1
M24_01	1	1	1	1
M24_FL_02	1	1	1	1
M24_FL_03	1	1	1	1
M26_FL_01	1	1	1	1
M26_01	3	3	5	1
M26_02	0	3	3	0
M26_FL_02	1	1	1	1
M26_FL_03	1	1	1	1
M27_FL_01	1	1	1	1
M27_01	3	3	3	1
M27_02	0	3	3	0
M27_FL_02	1	1	1	1
M27_FL_03	1	1	1	1
3155_FL_01	1	1	1	1
3155_01	1	1	3	1
